ï»¿"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover In Rs  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"KOTAKBANK","EQ","01-Jul-2024","1,802.50","1,802.50","1,813.15","1,790.00","1,804.70","1,808.10","1,803.59","29,01,510","5,23,31,40,959.40","94,314","14,02,784","48.35"
"KOTAKBANK","EQ","02-Jul-2024","1,808.10","1,820.95","1,820.95","1,737.10","1,763.15","1,769.60","1,765.43","96,25,017","16,99,22,97,342.25","3,08,325","50,83,446","52.81"
"KOTAKBANK","EQ","03-Jul-2024","1,769.60","1,765.80","1,815.85","1,752.20","1,809.00","1,810.70","1,796.13","89,81,003","16,13,10,77,019.15","1,93,759","34,50,869","38.42"
"KOTAKBANK","EQ","04-Jul-2024","1,810.70","1,806.60","1,838.55","1,801.30","1,832.00","1,833.85","1,826.92","50,68,893","9,26,04,80,577.55","1,33,980","33,52,862","66.15"
"KOTAKBANK","EQ","05-Jul-2024","1,833.85","1,820.00","1,857.95","1,818.45","1,844.60","1,852.70","1,842.31","34,65,653","6,38,47,99,258.35","1,72,885","18,04,391","52.06"
"KOTAKBANK","EQ","08-Jul-2024","1,852.70","1,854.00","1,857.25","1,835.45","1,855.80","1,853.20","1,849.51","38,61,203","7,14,13,30,515.45","98,979","23,48,682","60.83"
"KOTAKBANK","EQ","09-Jul-2024","1,853.20","1,861.20","1,870.00","1,830.00","1,845.00","1,847.85","1,845.45","39,20,211","7,23,45,38,293.70","1,08,590","20,78,412","53.02"
"KOTAKBANK","EQ","10-Jul-2024","1,847.85","1,843.00","1,844.50","1,820.20","1,833.00","1,829.85","1,829.47","56,29,789","10,29,95,53,281.95","1,59,838","33,06,247","58.73"
"KOTAKBANK","EQ","11-Jul-2024","1,829.85","1,830.85","1,852.00","1,821.55","1,839.40","1,844.50","1,837.24","46,15,372","8,47,95,60,846.35","1,72,868","32,53,565","70.49"
"KOTAKBANK","EQ","12-Jul-2024","1,844.50","1,844.50","1,851.00","1,826.25","1,834.00","1,832.85","1,836.44","42,40,855","7,78,80,82,222.95","1,44,533","23,95,308","56.48"
"KOTAKBANK","EQ","15-Jul-2024","1,832.85","1,839.00","1,857.90","1,826.65","1,841.00","1,843.55","1,844.26","59,09,996","10,89,95,95,298.85","1,57,771","29,38,029","49.71"
"KOTAKBANK","EQ","16-Jul-2024","1,843.55","1,842.10","1,849.10","1,800.90","1,806.90","1,805.30","1,815.63","65,42,702","11,87,91,57,103.65","1,32,538","46,90,723","71.69"